11,Star Wars: Episode IV - A New Hope (1977)
12,Finding Nemo (2003)
13,Forrest Gump (1994)
14,American Beauty (1999)
22,Pirates of the Caribbean: The Curse of the Black Pearl (2003)
24,Kill Bill: Vol. 1 (2003)
38,Eternal Sunshine of the Spotless Mind (2004)
63,Twelve Monkeys (a.k.a. 12 Monkeys) (1995)
77,Memento (2000)
85,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)
98,Gladiator (2000)
105,Back to the Future (1985)
107,Snatch (2000)
114,Pretty Woman (1990)
120,The Lord of the Rings: The Fellowship of the Ring (2001)
121,The Lord of the Rings: The Two Towers (2002)
122,The Lord of the Rings: The Return of the King (2003)
134,O Brother Where Art Thou? (2000)
141,Donnie Darko (2001)
146,Crouching Tiger Hidden Dragon (Wo hu cang long) (2000)
153,Lost in Translation (2003)
155,The Dark Knight (2008)
161,Ocean's Eleven (2001)
180,Minority Report (2002)
187,Sin City (2005)
194,Amelie (2001)
197,Braveheart (1995)
238,The Godfather (1972)
243,High Fidelity (2000)
268,Batman (1989)
272,Batman Begins (2005)
274,The Silence of the Lambs (1991)
275,Fargo (1996)
278,The Shawshank Redemption (1994)
280,Terminator 2: Judgment Day (1991)
329,Jurassic Park (1993)
393,Kill Bill: Vol. 2 (2004)
414,Batman Forever (1995)
424,Schindler's List (1993)
453,A Beautiful Mind (2001)
462,Erin Brockovich (2000)
550,Fight Club (1999)
557,Spider-Man (2002)
558,Spider-Man 2 (2004)
568,Apollo 13 (1995)
581,Dances with Wolves (1990)
585,Monsters Inc. (2001)
597,Titanic (1997)
601,E.T. the Extra-Terrestrial (1982)
602,Independence Day (a.k.a. ID4) (1996)
603,The Matrix (1999)
604,The Matrix Reloaded (2003)
607,Men in Black (a.k.a. MIB) (1997)
629,The Usual Suspects (1995)
640,Catch Me If You Can (2002)
641,Requiem for a Dream (2000)
664,Twister (1996)
671,Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001)
672,Harry Potter and the Chamber of Secrets (2002)
680,Pulp Fiction (1994)
745,The Sixth Sense (1999)
752,V for Vendetta (2006)
786,Almost Famous (2000)
788,Mrs. Doubtfire (1993)
807,Seven (a.k.a. Se7en) (1995)
808,Shrek (2001)
809,Shrek 2 (2004)
812,Aladdin (1992)
854,The Mask (1994)
857,Saving Private Ryan (1998)
862,Toy Story (1995)
954,Mission: Impossible (1996)
955,Mission: Impossible II (2000)
1422,The Departed (2006)
1572,Die Hard: With a Vengeance (1995)
1597,Meet the Parents (2000)
1637,Speed (1994)
1891,Star Wars: Episode V - The Empire Strikes Back (1980)
1892,Star Wars: Episode VI - Return of the Jedi (1983)
1894,Star Wars: Episode II - Attack of the Clones (2002)
1900,Traffic (2000)
2024,The Patriot (2000)
2164,Stargate (1994)
2501,The Bourne Identity (2002)
2502,The Bourne Supremacy (2004)
3049,Ace Ventura: Pet Detective (1994)
4327,Charlie's Angels (2000)
5503,The Fugitive (1993)
7443,Chicken Run (2000)
8358,Cast Away (2000)
8467,Dumb & Dumber (1994)
8587,The Lion King (1994)
9331,Clear and Present Danger (1994)
9741,Unbreakable (2000)
9802,The Rock (1996)
9806,The Incredibles (2004)
10020,Beauty and the Beast (1991)
36657,X-Men (2000)
36658,X2: X-Men United (2003)
36955,True Lies (1994)
